"","Song","Breakout","Immersion","Peak","Frustration","Invangelist","Replay","Reccomend","Offensive","Correct","Score","Station Owners","Thumbs Up YTD","SongPlays","Number of Days out since release"
"1","1. Yemi Alade, Shake",1,4.09096774193548,4.23612903225806,1.46741935483871,6,0.4375,0.21875,0,NA,4.40625,60063,3,4365,174
"2","10. Lil Keed, Swap It Out",0,4.01964285714286,4.18071428571429,1.45678571428571,5,0.0625,0.0625,0.0625,NA,2.78125,80031,143,248931,148
"3","11. Mahalia, What You Did",1,4.234,4.26666666666667,1.43866666666667,8,0.28125,0.0625,0,0.741935483870968,4.34375,42701,29562,3237405,162
"4","12. Girl In Red, Bad Idea",0,4.13034482758621,4.11137931034483,1.45655172413793,2,0.466666666666667,0.233333333333333,0,0.896551724137931,4.66666666666667,32631,1533,169070,170
"5","13. Lil That, F.N",1,4.24448275862069,4.07310344827586,1.43965517241379,5,0.0967741935483871,0.0645161290322581,0.161290322580645,1,3.67741935483871,345759,35195,6163192,195
"6","14. Ali Gatie, It's You",1,4.19125,4.19791666666667,1.43791666666667,6,0.16,0.12,0,0.666666666666667,4.64,104461,16059,7461657,251
"7","15. Tyla Yaweh, I Think I love Her",1,4.16733333333333,4.04166666666667,1.445,8,0.310344827586207,0.166666666666667,0.2,0.857142857142857,3.76666666666667,11387,10506,1392285,146
"8","16. Ekali, Forgot How to Dream",0,4.19266666666667,4.25666666666667,1.43766666666667,6,0.354838709677419,0.193548387096774,0.032258064516129,0.7,4.37096774193548,9658,51,28910,398
"9","17. Roddy Rich, The Box",0,4.03588235294118,4.08176470588235,1.48529411764706,7,0.294117647058824,0.0555555555555556,0.111111111111111,0.470588235294118,4.08333333333333,999270,781291,26100988,76
"10","18. Gabby Barrett, The Good Ones",1,4.27266666666667,3.968,1.472,3,0.5,0.225806451612903,0,0.533333333333333,5.04838709677419,65070,14978,3449548,223
"11","19. Benee, Evil Spider",0,4.15035714285714,4.01214285714286,1.49928571428571,7,0.466666666666667,0.2,0,0.793103448275862,5,2627,107,53515,286
"12","2. Hailey Whitters, Hearland",0,3.98612903225806,4.17967741935484,1.56516129032258,9,0.387096774193548,0.28125,0,0.774193548387097,4.5,1478,245,582391,160
"13","20. Mallrat, Charlie",0,4.18,4.23678571428571,1.46178571428571,6,0.482758620689655,0.266666666666667,0,0.793103448275862,5.25,7098,454,68730,197
"14","21. Paloma Mami, Don't Talk About Me",0,4.123,4.25366666666667,1.50333333333333,2,0.451612903225806,0.21875,0.0625,0.838709677419355,4.75,26487,571,384121,265
"15","22. Fire From the Gods, Right Now",1,4.18827586206897,4.04206896551724,1.48931034482759,7,0.448275862068966,0.166666666666667,0.0333333333333333,0.862068965517241,4.56666666666667,33398,3656,714086,174
"16","23. Arin Ray, A Seat",0,4.08806451612903,4.15677419354839,1.5041935483871,5,0.451612903225806,0.15625,0.03125,0.645161290322581,4.875,10406,1837,283505,118
"17","24. NLE Choppa, Dekario",0,4.119,4.00066666666667,1.49066666666667,2,0.3,0.15625,0.0625,0.8,3.96875,503375,1092,4351,102
"18","3. Doja Cat, Like That",1,4.06230769230769,4.05461538461538,1.50423076923077,6,0.269230769230769,0.111111111111111,0,0.615384615384615,4.25925925925926,335862,8275,809000,105
"19","4. Tonnes and I, Dance Monkey",1,4.151,4.323,1.473,6,0.8,0.5,0,0.9,5.6,101234,326570,31891320,286
"20","5. Layton Green, Lil Baby, and City Girls, Leave Em Alone",1,4.10344827586207,4.35827586206897,1.41965517241379,4,0.344827586206897,0.206896551724138,0.0344827586206897,0.607142857142857,4.48275862068965,473447,105066,25489988,220
"21","6. Isabella Merced, Papi",1,4.05866666666667,4.056,1.46033333333333,5,0.419354838709677,0.225806451612903,0.0645161290322581,0.8,4.90322580645161,643,2332,1213869,106
"22","7. Pink Sweat, Coke & Henny",0,4.115,3.91892857142857,1.45392857142857,7,0.387096774193548,0.193548387096774,0.032258064516129,0.766666666666667,5.03225806451613,46486,233,261054,335
"23","8. Arizona Zervas, Roxanne",1,4.22357142857143,4.01785714285714,1.46571428571429,3,0.266666666666667,0.266666666666667,0.0666666666666667,1,4.46666666666667,60887,305444,26408085,133
"24","9. Koffee, Rapture",1,4.21766666666667,4.09833333333333,1.45233333333333,5,0.32258064516129,0.161290322580645,0.032258064516129,0.8,4.2258064516129,71944,3770,960093,343
