"","Breakout","Immersion","Peak","Frustration","Invangelist"
"1","0",4.115,4.11137931034483,1.473,5
"2","1",4.05866666666667,4.05461538461538,1.5041935483871,6
"3","1",4.21766666666667,4.09833333333333,1.41965517241379,5
"4","1",4.16733333333333,4.04166666666667,1.45392857142857,5
"5","1",4.234,3.968,1.472,7
"6","0",4.123,4.25366666666667,1.43766666666667,4
"7","1",4.09096774193548,4.23612903225806,1.43766666666667,5
"8","1",4.234,4.07310344827586,1.41965517241379,7
"9","1",4.10344827586207,4.23612903225806,1.473,2
"10","1",4.22357142857143,4.07310344827586,1.45233333333333,8
"11","0",4.08806451612903,4.11137931034483,1.5041935483871,4
"12","1",4.21766666666667,3.968,1.49928571428571,7
"13","0",4.115,4.17967741935484,1.43766666666667,2
"14","1",4.05866666666667,4.08176470588235,1.5041935483871,5
"15","1",4.09096774193548,4.00066666666667,1.46571428571429,2
"16","0",4.18,4.04206896551724,1.46571428571429,5
"17","1",4.22357142857143,3.968,1.49928571428571,7
"18","0",3.98612903225806,4.056,1.50423076923077,5
"19","0",4.15035714285714,4.11137931034483,1.43866666666667,5
"20","1",4.05866666666667,4.15677419354839,1.56516129032258,5
"21","1",4.234,4.26666666666667,1.41965517241379,6
"22","0",4.13034482758621,3.91892857142857,1.472,3
"23","0",4.119,4.056,1.48931034482759,9
"24","0",4.13034482758621,4.15677419354839,1.43791666666667,5
"25","1",4.06230769230769,4.08176470588235,1.48529411764706,5
"26","0",4.01964285714286,4.15677419354839,1.45678571428571,5
"27","1",4.234,4.09833333333333,1.43791666666667,6
"28","0",4.119,4.11137931034483,1.43866666666667,4
"29","1",4.27266666666667,4.07310344827586,1.46178571428571,8
"30","0",4.115,4.18071428571429,1.43791666666667,2
"31","0",4.08806451612903,4.25366666666667,1.46033333333333,2
"32","0",4.01964285714286,4.25366666666667,1.45678571428571,4
"33","1",4.21766666666667,3.968,1.49066666666667,3
"34","0",4.18,4.23678571428571,1.45655172413793,6
"35","1",4.06230769230769,4.01214285714286,1.46033333333333,7
"36","1",4.10344827586207,4.17967741935484,1.50333333333333,7
"37","1",4.10344827586207,4.08176470588235,1.473,5
"38","1",4.21766666666667,4.09833333333333,1.43766666666667,6
"39","0",4.01964285714286,4.25366666666667,1.50423076923077,4
"40","1",4.06230769230769,4.18071428571429,1.46033333333333,2
"41","0",4.119,4.05461538461538,1.472,2
"42","1",4.16733333333333,4.04206896551724,1.49066666666667,5
"43","0",4.15035714285714,4.35827586206897,1.43791666666667,5
"44","1",4.19125,4.04206896551724,1.445,6
"45","1",4.234,4.07310344827586,1.45655172413793,6
"46","1",4.234,4.01785714285714,1.49066666666667,2
"47","0",4.08806451612903,4.25366666666667,1.46033333333333,4
"48","1",4.151,4.19791666666667,1.46741935483871,8
"49","1",4.16733333333333,4.23678571428571,1.46741935483871,8
"50","0",4.119,4.23612903225806,1.46178571428571,2
"51","0",4.19266666666667,4.04206896551724,1.48931034482759,6
"52","0",4.123,4.15677419354839,1.43791666666667,5
"53","1",4.27266666666667,4.26666666666667,1.43965517241379,6
"54","1",4.16733333333333,4.25666666666667,1.41965517241379,6
"55","0",4.01964285714286,4.056,1.56516129032258,5
"56","0",3.98612903225806,4.35827586206897,1.48529411764706,5
"57","1",4.27266666666667,3.968,1.445,7
"58","0",4.115,4.23612903225806,1.46178571428571,5
"59","1",4.16733333333333,4.19791666666667,1.43965517241379,5
"60","1",4.10344827586207,4.08176470588235,1.46178571428571,6
"61","1",4.27266666666667,4.01785714285714,1.48931034482759,3
"62","0",4.03588235294118,4.25366666666667,1.46033333333333,2
"63","0",4.119,4.056,1.49066666666667,4
"64","1",4.19125,4.25666666666667,1.43965517241379,6
"65","0",4.123,4.23612903225806,1.43791666666667,2
"66","0",4.01964285714286,4.15677419354839,1.46033333333333,6
"67","0",4.18,4.19791666666667,1.43866666666667,8
"68","1",4.18827586206897,4.19791666666667,1.46178571428571,6
"69","0",4.03588235294118,4.15677419354839,1.56516129032258,9
"70","1",4.234,4.26666666666667,1.50333333333333,5
"71","0",4.19266666666667,4.323,1.473,6
"72","1",4.22357142857143,4.01785714285714,1.46571428571429,3
"73","1",4.151,4.19791666666667,1.45655172413793,6
"74","1",4.151,4.23678571428571,1.43866666666667,6
"75","0",3.98612903225806,3.91892857142857,1.5041935483871,7
"76","0",4.119,4.08176470588235,1.50333333333333,9
"77","1",4.06230769230769,4.35827586206897,1.45678571428571,9
"78","1",4.21766666666667,4.01785714285714,1.49928571428571,7
"79","0",4.115,4.15677419354839,1.46741935483871,5
"80","0",3.98612903225806,4.00066666666667,1.48529411764706,3
"81","0",4.115,4.05461538461538,1.48931034482759,9
"82","0",4.08806451612903,4.05461538461538,1.56516129032258,6
"83","0",3.98612903225806,3.91892857142857,1.48529411764706,3
"84","0",4.03588235294118,4.15677419354839,1.56516129032258,5
"85","1",4.18827586206897,4.04206896551724,1.472,6
"86","0",4.13034482758621,4.15677419354839,1.43965517241379,4
"87","1",4.18827586206897,4.04206896551724,1.49066666666667,7
"88","1",4.22357142857143,4.01785714285714,1.472,7
"89","0",4.01964285714286,4.056,1.50423076923077,6
"90","0",4.15035714285714,4.05461538461538,1.46571428571429,6
"91","0",4.15035714285714,4.05461538461538,1.472,6
"92","0",4.08806451612903,4.056,1.46033333333333,6
"93","1",4.234,3.968,1.49066666666667,3
"94","1",4.27266666666667,4.07310344827586,1.43766666666667,8
"95","1",4.22357142857143,3.968,1.445,2
"96","0",4.18,4.19791666666667,1.50333333333333,8
"97","0",4.15035714285714,4.056,1.445,8
"98","1",4.22357142857143,4.09833333333333,1.45655172413793,8
"99","0",4.115,4.18071428571429,1.43766666666667,5
"100","0",4.13034482758621,4.35827586206897,1.45655172413793,6
"101","1",4.27266666666667,3.968,1.48931034482759,7
"102","0",4.01964285714286,4.15677419354839,1.5041935483871,5
"103","0",4.01964285714286,4.11137931034483,1.46033333333333,4
"104","1",4.27266666666667,3.968,1.45392857142857,7
"105","1",4.06230769230769,4.056,1.48529411764706,9
"106","0",4.18,4.23678571428571,1.45233333333333,6
"107","1",4.21766666666667,3.968,1.49066666666667,3
"108","1",4.27266666666667,3.968,1.46571428571429,3
"109","0",4.08806451612903,4.056,1.56516129032258,4
"110","1",4.19125,4.04206896551724,1.46571428571429,5
"111","1",4.22357142857143,4.01785714285714,1.45392857142857,3
"112","0",4.01964285714286,4.17967741935484,1.45678571428571,7
"113","0",4.115,4.18071428571429,1.45655172413793,7
"114","0",4.119,4.18071428571429,1.50333333333333,5
"115","1",4.151,4.23678571428571,1.45655172413793,8
"116","0",4.13034482758621,4.01214285714286,1.48931034482759,2
"117","0",4.03588235294118,4.17967741935484,1.48529411764706,2
"118","0",4.08806451612903,4.25366666666667,1.46033333333333,6
"119","0",4.18,4.323,1.45655172413793,8
"120","0",4.19266666666667,4.25666666666667,1.43791666666667,6
"121","0",4.13034482758621,4.01214285714286,1.48931034482759,3
"122","0",3.98612903225806,4.01214285714286,1.5041935483871,7
"123","1",4.06230769230769,4.15677419354839,1.46033333333333,5
"124","0",4.115,4.08176470588235,1.43866666666667,2
"125","1",4.22357142857143,3.968,1.49066666666667,7
"126","1",4.22357142857143,4.07310344827586,1.46178571428571,7
"127","0",4.15035714285714,4.35827586206897,1.43965517241379,6
"128","1",4.18827586206897,4.323,1.473,8
"129","1",4.151,4.323,1.45233333333333,8
"130","1",4.234,4.01785714285714,1.49066666666667,7
"131","1",4.24448275862069,3.968,1.49066666666667,7
"132","1",4.24448275862069,4.26666666666667,1.43791666666667,8
"133","1",4.234,4.26666666666667,1.46741935483871,5
"134","1",4.18827586206897,4.23678571428571,1.45233333333333,5
"135","1",4.21766666666667,4.07310344827586,1.45655172413793,5
"136","1",4.234,4.07310344827586,1.43791666666667,6
"137","0",3.98612903225806,4.23612903225806,1.56516129032258,7
"138","0",3.98612903225806,4.35827586206897,1.45678571428571,7
"139","1",4.24448275862069,3.968,1.46571428571429,3
"140","1",4.09096774193548,4.00066666666667,1.445,3
"141","1",4.24448275862069,4.07310344827586,1.50333333333333,6
"142","1",4.18827586206897,4.323,1.43791666666667,6
"143","1",4.16733333333333,4.19791666666667,1.43766666666667,7
"144","0",3.98612903225806,3.91892857142857,1.5041935483871,3
